id,name,state,created_at,tags,url,arch,ratio,dataset,epochs,steps_per_epoch,batch_size,image_size,learning_rate,use_2d_fusion,use_hilbert,use_zigzag,ssm_state_dim,emb_features,num_layers,num_heads,patch_size,noise_schedule,ema_decay,augmentation_mode,step,runtime_sec,best_val_clip_score,val_clip_score,best_val_clip_similarity,val_clip_similarity,best_val_loss,val_loss,train_loss,train_best_loss,train_avg_loss
rtn000or,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-6996066741316175877/date-2026-04-29_00:14:14,crashed,2026-04-29T00:14:16Z,[],https://wandb.ai/umd-projects/msml612-training/runs/rtn000or,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,,,,,,,,,,,
kacn2g30,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--8579389496902429078/date-2026-04-28_23:31:44,failed,2026-04-28T23:31:45Z,[],https://wandb.ai/umd-projects/msml612-training/runs/kacn2g30,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,1397,1113.775103206,18.75,18.75,0.8125,0.8125,,,0.5314911603927612,0.5173051953315735,0.5173051953315735
swk2v9h7,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-3358653556318943591/date-2026-04-28_22:49:37,crashed,2026-04-28T22:49:38Z,[],https://wandb.ai/umd-projects/msml612-training/runs/swk2v9h7,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,,,,,,,,,,,
vesc9meo,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-5362444340525892464/date-2026-04-28_22:17:09,crashed,2026-04-28T22:17:11Z,[],https://wandb.ai/umd-projects/msml612-training/runs/vesc9meo,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,2006,1335.65531158,21.375,21.375,0.7861328125,0.7861328125,,,0.4936267137527466,0.5113550424575806,0.5118884444236755
2881a4sg,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--7375465651590173557/date-2026-04-28_21:21:10,crashed,2026-04-28T21:21:12Z,[],https://wandb.ai/umd-projects/msml612-training/runs/2881a4sg,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,5562,2542.153414866,26.203125,26.203125,0.73828125,0.73828125,,,0.4976409375667572,0.4890951216220856,0.4908095896244049
lwx3n1wg,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-131542024179291108/date-2026-04-28_20:59:18,crashed,2026-04-28T20:59:20Z,[],https://wandb.ai/umd-projects/msml612-training/runs/lwx3n1wg,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,,,,,,,,,,,
nv1y8fwc,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-7499013664473840849/date-2026-04-28_20:55:39,finished,2026-04-28T20:55:41Z,[],https://wandb.ai/umd-projects/msml612-training/runs/nv1y8fwc,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,7095.174575564,28.578125,28.359375,0.71435546875,0.71630859375,,,0.4726303219795227,0.45894187688827515,0.45894187688827515
kjjzywzo,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-3250995558931363957/date-2026-04-28_18:08:10,crashed,2026-04-28T18:08:11Z,[],https://wandb.ai/umd-projects/msml612-training/runs/kjjzywzo,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,,,,,,,,,,,
wec3e9o1,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--8155890861422337166/date-2026-04-28_17:48:27,crashed,2026-04-28T17:48:29Z,[],https://wandb.ai/umd-projects/msml612-training/runs/wec3e9o1,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,,,,,,,,,,,
nvs28ryj,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--8772162821308076369/date-2026-04-28_16:46:21,crashed,2026-04-28T16:46:23Z,[],https://wandb.ai/umd-projects/msml612-training/runs/nvs28ryj,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,7086,3025.794894231,26.453125,26.390625,0.7353515625,0.736328125,,,0.47174638509750366,0.4838620126247406,0.4838620126247406
7w9vy2fu,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--254250595582244915/date-2026-04-28_15:49:58,crashed,2026-04-28T15:49:59Z,[],https://wandb.ai/umd-projects/msml612-training/runs/7w9vy2fu,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,5308,2578.990440069,26.078125,26.078125,0.7392578125,0.7392578125,,,0.4795939922332764,0.48963454365730286,0.49204203486442566
n4hq52ro,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--636847965843962378/date-2026-04-28_15:26:00,failed,2026-04-28T15:26:02Z,[],https://wandb.ai/umd-projects/msml612-training/runs/n4hq52ro,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,254,595.339559354,15.1875,15.1875,0.84814453125,0.84814453125,,,0.5958136320114136,0.6382482647895813,0.6382482647895813
8mjgnuyo,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--6841281610304644751/date-2026-04-28_14:15:57,crashed,2026-04-28T14:15:59Z,[],https://wandb.ai/umd-projects/msml612-training/runs/8mjgnuyo,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,5689,2687.26007132,26.265625,26.265625,0.7373046875,0.7373046875,,,0.4714376032352447,0.4889780580997467,0.4889780580997467
xecrwcv9,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-8288400933043455192/date-2026-04-28_12:40:59,crashed,2026-04-28T12:41:00Z,[],https://wandb.ai/umd-projects/msml612-training/runs/xecrwcv9,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,11684,4602.781600511,27.921875,27.796875,0.720703125,0.72216796875,,,0.475144624710083,0.47152525186538696,0.4717359840869904
zzt3l98i,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-5241066340881769610/date-2026-04-28_12:24:45,crashed,2026-04-28T12:24:47Z,[],https://wandb.ai/umd-projects/msml612-training/runs/zzt3l98i,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,,,,,,,,,,,
w2rvnx7s,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-4167649675325888685/date-2026-04-28_11:31:50,crashed,2026-04-28T11:31:51Z,[],https://wandb.ai/umd-projects/msml612-training/runs/w2rvnx7s,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,990,931.371139133,16.59375,16.59375,0.833984375,0.833984375,,,0.5186790227890015,0.5323624610900879,0.5323624610900879
gg7wsz4w,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--143418646321215484/date-2026-04-28_10:56:36,crashed,2026-04-28T10:56:38Z,[],https://wandb.ai/umd-projects/msml612-training/runs/gg7wsz4w,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,1752,1225.852270996,20.1875,20.1875,0.7978515625,0.7978515625,,,0.5259678363800049,0.512203574180603,0.512203574180603
7re5hhar,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--6009739835586523005/date-2026-04-28_10:04:25,crashed,2026-04-28T10:04:27Z,[],https://wandb.ai/umd-projects/msml612-training/runs/7re5hhar,hybrid_dit+2d,all-ssm,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,2133,2382.852664858,20.96875,20.96875,0.79052734375,0.79052734375,,,0.5215007066726685,0.5122833251953125,0.5122833251953125
mknxrekw,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-4106981264963620476/date-2026-04-28_10:02:30,failed,2026-04-28T10:02:32Z,[],https://wandb.ai/umd-projects/msml612-training/runs/mknxrekw,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,5588,2567.834210961,26.171875,26.078125,0.73828125,0.7392578125,,,0.49757450819015503,0.4893129169940949,0.4911864399909973
r91lhrly,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--8822599014033596083/date-2026-04-28_09:32:31,crashed,2026-04-28T09:32:33Z,[],https://wandb.ai/umd-projects/msml612-training/runs/r91lhrly,hybrid_dit+2d+zigzag,all-ssm,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,,,,,,,,,,,
r9hzj5in,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-3499356181041843695/date-2026-04-28_09:16:01,crashed,2026-04-28T09:16:03Z,[],https://wandb.ai/umd-projects/msml612-training/runs/r9hzj5in,hybrid_dit+2d,all-ssm,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,0,448.82555653,14.5703125,14.5703125,0.8544921875,0.8544921875,,,,,
